country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,rgdpe_emp,rgdpe_h,rgdpe_emp_cagr_2012_2017,wb_region,wb_gini,wb_govexp_1_gdp,wb_govexp_1_constPPP,wb_govexp_2_gdp,wb_govexp_2_constPPP,wb_govexp_3_gdp,wb_govexp_3_constPPP,wb_govexp_12_gdp,wb_govexp_12_constPPP,wb_govexp_123_gdp,wb_govexp_123_constPPP,oecd,oecd_exp_perstud_12p23_public,oecd_exp_perstud_12p2_public,oecd_exp_perstud_3_public,oecd_exp_perstud_12p23_private,oecd_exp_perstud_12p2_private,oecd_exp_perstud_3_private,oecd_exp_gdp_12p23_public,oecd_exp_gdp_12p2_public,oecd_exp_gdp_3_public,oecd_exp_gdp_12p23_private,oecd_exp_gdp_12p2_private,oecd_exp_gdp_3_private,oecd_exp_perstud_gdp_12p23,oecd_exp_perstud_gdp_12p2,oecd_exp_perstud_gdp_3,country_considered
AFG,Afghanistan,0.9641,,21.506,,0.00384,0.33869,,,,South Asia,,1.79364,1433.9328,0.90325,722.1059,0.51942,395.5343,2.69689,2156.0387,3.21631,2551.573,0,,,,,,,,,,,,,,,,0
AGO,Angola,0.6786,81.58926667,29.31,0.067094573,0.00324,0.46332,9685.787494,,-0.060141431,Sub-Saharan Africa,51.3,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
ALB,Albania,2.3978,93.96278,89.018,1.465815024,0.139829999,2.81867,32545.6462,,0.009090708,Europe & Central Asia,33.2,2.08063,779.43098,0.77878,291.74037,0.68081,255.0414,2.85941,1071.17135,3.54022,1326.21275,0,,,,,,,,,,,,,,,,1
AND,Andorra,,,68.61,,0.21614,,,,,Europe & Central Asia,,0.67913,,0.79956,,0.13299,,1.47869,,1.61168,,0,,,,,,,,,,,,,,,,0
ARE,United Arab Emirates,3.4766,96.42435,66.998,1.996395455,0.482939994,1.22417,158415.9304,,0.005307817,Middle East & North Africa,32.5,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
ARG,Argentina,2.5853,99.61712,61.1,1.354693389,0.283120003,4.16988,37470.94003,22.15201709,0.002512249,Latin America & Caribbean,41.4,1.61653,16776.69213,2.15973,22414.25003,1.20608,12516.99122,3.77626,39190.94216,4.98234,51707.93338,0,3582.8677,3652.1155,3376.3677,,,,4.881373,3.7261806,1.1551924,,,,,,,1
ARM,Armenia,3.2334,94.49717,97.1,1.790588298,0.366769999,2.51844,28758.11651,,0.054286182,Europe & Central Asia,34.4,0.52456,187.1431,1.26913,452.78284,0.35178,125.50347,1.79369,639.92594,2.14547,765.42941,0,,,,,,,,,,,,,,,,1
ATG,Antigua and Barbuda,,97.14386,,0,0.133840001,0.910575,,,,Latin America & Caribbean,,,,0.93216,14.64652,,,,,,,0,,,,,,,,,,,,,,,,0
AUS,Australia,3.3187,99.35557,91.844,5.225649684,3.388070011,5.571375,96018.41369,55.45407557,0.014876113,East Asia & Pacific,34.4,1.70396,20501.38834,1.65504,19912.82701,1.28691,15483.58194,3.359,40414.21535,4.64591,55897.79729,1,8767.1445,9151.9082,7390.4292,4504.7666,2117.8579,13045.32,3.94890399,3.2217866,0.72711739,2.02904035,0.74555885,1.2834815,26.499866,22.502209,40.803818,1
AUT,Austria,3.409,98.81575,99.134,4.883241042,2.553050017,3.75701,103542.5321,64.19045374,0.020292794,Europe & Central Asia,29.7,0.90578,4353.81992,2.1145,10163.83835,1.70741,8207.03553,3.02028,14517.65827,4.72769,22724.6938,1,15354.524,14456.636,17389.844,964.21234,639.98346,1699.1682,4.4904572,2.9336681,1.5567891,0.28198555,0.1298711,0.15211445,29.859093,27.622932,34.927982,1
AZE,Azerbaijan,0.7678,94.75944,95.542,1.298595558,0.101720001,1.16473,29707.25451,,-0.0275829,Europe & Central Asia,26.6,,,,,0.44977,635.25603,,,,,0,,,,,,,,,,,,,,,,0
BDI,Burundi,0.9188,94.93162,8,0.155659713,0.00482,0.24213,1741.842491,,0.010108763,Sub-Saharan Africa,38.6,2.72369,227.95778,1.60778,134.5627,1.45289,121.59929,4.33147,362.52048,5.78436,484.11977,0,,,,,,,,,,,,,,,,0
BEL,Belgium,3.7953,98.9678,81.948,3.757442504,2.604360008,3.56688,111771.1426,72.37802446,0.013257105,Europe & Central Asia,27.4,1.52471,8797.68559,2.79354,15039.40056,1.45121,8373.58212,4.31825,23837.08615,5.76946,32210.66827,1,13393.53097,12616.73887,16629.44783,893.17822,437.25604,2792.4368,5.2459238,4.0144767,1.2314471,0.35466846,0.14001678,0.21465168,28.139263,25.711296,38.253563,1
BEN,Benin,2.9622,95.98494,22.422,0.134339205,0.03863,0.73207,4954.128208,,0.011657951,Sub-Saharan Africa,47.8,1.58042,492.40306,0.75312,234.64427,0.70278,218.96259,2.33354,727.04733,3.03632,946.00992,0,,,,,,,,,,,,,,,,0
BFA,Burkina Faso,0.9302,69.31267,8.43,0.121871189,0.02638,0.28133,5049.747992,,0.031789768,Sub-Saharan Africa,35.3,2.12381,744.17341,0.96086,356.7429,1.51696,563.21108,3.08467,1100.91631,4.60163,1664.12739,0,,,,,,,,,,,,,,,,0
BGD,Bangladesh,0.7402,95.4362,41.916,0.118845869,0.0256,0.75536,8920.53211,3.99601995,0.045946668,South Asia,32.4,0.97034,4316.15402,0.83613,5883.31345,0.45645,3211.74921,1.80647,10199.46747,2.26292,13411.21668,0,,,,,,,,,,,,,,,,0
BGR,Bulgaria,2.6506,94.50341,94.142,1.495831014,0.600819996,3.05021,41073.76186,24.99091887,0.036679415,Europe & Central Asia,40.4,0.80885,1222.68611,1.53017,2313.06036,0.81031,1224.88912,2.33902,3535.74647,3.14933,4760.63559,0,,,,,,,,,,,,,,,,1
BHR,Bahrain,2.591,95.69413,57.28,4.422353008,0.32595,2.06623,68500.734,,-0.011766693,Middle East & North Africa,,0.88012,583.21852,1.17995,781.90479,0.60448,373.17839,2.06007,1365.12331,2.66455,1738.3017,0,,,,,,,,,,,,,,,,1
BHS,"Bahamas, The",,80.27159,87.876,0,0.12758,,54076.95013,,-0.023982092,Latin America & Caribbean,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1
BIH,Bosnia and Herzegovina,2.673,,70.06,0.958497343,0.283459996,,58714.88351,,0.043617268,Europe & Central Asia,33,,,3.37963,1508.05421,0.74967,339.25192,,,,,0,,,,,,,,,,,,,,,,1
BLR,Belarus,3.6367,98.9361,90.11,1.516436077,0.19725,4.03301,37588.72864,,-0.004652214,Europe & Central Asia,25.2,,,2.41949,4200.9557,0.79014,1371.91688,,,,,0,,,,,,,,,,,,,,,,1
