country_code,country,ac_qual_edu,pr_sch,sec_sch,qual_univ,cit_doc,tert_sch_years,gdp,oecd,wb_region,wb_incomegroup
AFG,Afghanistan,0.9641,,21.506,2.400000095,0.00384,0.33869,,0,South Asia,Low income
AGO,Angola,0.6786,81.58926667,29.31,1.799999952,0.00324,0.46332,4993.845953,0,Sub-Saharan Africa,Lower middle income
ALB,Albania,2.3978,93.96278,89.018,4.320000029,0.139829999,2.81867,11941.19746,0,Europe & Central Asia,Upper middle income
AND,Andorra,,,68.61,,0.21614,,,0,Europe & Central Asia,High income
ARE,United Arab Emirates,3.4766,96.42435,66.998,21.33999939,0.482939994,1.22417,65500.44869,0,Middle East & North Africa,High income
ARG,Argentina,2.5853,99.61712,61.1,58.8,0.283120003,4.16988,16466.73185,0,Latin America & Caribbean,Upper middle income
ARM,Armenia,3.2334,94.49717,97.1,5.199999809,0.366769999,2.51844,10182.28069,0,Europe & Central Asia,Upper middle income
ATG,Antigua and Barbuda,,97.14386,,,0.133840001,0.910575,7879.67617,0,Latin America & Caribbean,High income
AUS,Australia,3.3187,99.35557,91.844,126.5600006,3.388070011,5.571375,47392.62323,1,East Asia & Pacific,High income
AUT,Austria,3.409,98.81575,99.134,43.73999977,2.553050017,3.75701,46103.27061,1,Europe & Central Asia,High income
AZE,Azerbaijan,0.7678,94.75944,95.542,11.00000033,0.101720001,1.16473,14504.94204,0,Europe & Central Asia,Upper middle income
BDI,Burundi,0.9188,94.93162,8,1.560000014,0.00482,0.24213,799.6111597,0,Sub-Saharan Africa,Low income
BEL,Belgium,3.7953,98.9678,81.948,43.28000031,2.604360008,3.56688,38340.88518,1,Europe & Central Asia,High income
BEN,Benin,2.9622,95.98494,22.422,1.580000007,0.03863,0.73207,2113.935691,0,Sub-Saharan Africa,Lower middle income
BFA,Burkina Faso,0.9302,69.31267,8.43,2.160000038,0.02638,0.28133,1628.456591,0,Sub-Saharan Africa,Low income
BGD,Bangladesh,0.7402,95.4362,41.916,19.74000034,0.0256,0.75536,3436.052606,0,South Asia,Lower middle income
BGR,Bulgaria,2.6506,94.50341,94.142,10.80000019,0.600819996,3.05021,18639.94556,0,Europe & Central Asia,Upper middle income
BHR,Bahrain,2.591,95.69413,57.28,5.799999905,0.32595,2.06623,37616.38974,0,Middle East & North Africa,High income
BHS,"Bahamas, The",,80.27159,87.876,,0.12758,,22026.31162,0,Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,2.673,,70.06,3.679999971,0.283459996,,11572.85534,0,Europe & Central Asia,Upper middle income
BLR,Belarus,3.6367,98.9361,90.11,14.80000019,0.19725,4.03301,16843.68502,0,Europe & Central Asia,Upper middle income
BLZ,Belize,,98.95345,77.156,,0.08005,1.22788,6777.004629,0,Latin America & Caribbean,Upper middle income
BOL,Bolivia,0.8981,91.53051,52.744,10.76000013,0.02655,,5838.070576,0,Latin America & Caribbean,Lower middle income
BRA,Brazil,1.0517,97.59215,55.706,103.5800018,0.319209996,2.14786,13812.99249,0,Latin America & Caribbean,Upper middle income
